iter	Logloss
0	0.6879743026
1	0.6843415026
2	0.6805761666
3	0.6765783118
4	0.6720829777
5	0.6681616697
6	0.664191292
7	0.660288137
8	0.6562625102
9	0.6528484132
10	0.6487823592
11	0.6454980157
12	0.6418953149
13	0.6374430161
14	0.6339676193
15	0.630425276
16	0.6266998407
17	0.6237659509
18	0.6204393983
19	0.6170129577
20	0.6133404753
21	0.6104933101
22	0.6069523232
23	0.6036466505
24	0.6005390535
25	0.5977520132
26	0.5948188147
27	0.5919831846
28	0.5885065027
29	0.5848273118
30	0.5822075653
31	0.5790604186
32	0.5762251605
33	0.5745337292
34	0.5719085349
35	0.5693364725
36	0.5665485588
37	0.5647413592
38	0.5622429865
39	0.5600038387
40	0.5579785095
41	0.5555817909
42	0.5533883315
43	0.550371911
44	0.5482586285
45	0.5458783268
46	0.5441370156
47	0.5422492524
48	0.5397110907
49	0.5378482535
50	0.535525042
51	0.5334716834
52	0.5308796687
53	0.5291890844
54	0.5273404072
55	0.5252024674
56	0.5232145811
57	0.5212393865
58	0.5188927693
59	0.5166495475
60	0.5151264324
61	0.5128109267
62	0.5114748273
63	0.5096208479
64	0.5072601443
65	0.5052769411
66	0.5036622633
67	0.501732763
68	0.5005424586
69	0.4991694101
70	0.4976899719
71	0.4958906675
72	0.4944549327
73	0.492950052
74	0.4913299386
75	0.4898796869
76	0.4882945761
77	0.4866731884
78	0.4849083362
79	0.4832344106
80	0.4822154501
81	0.4805651595
82	0.4789437043
83	0.477368067
84	0.4759591021
85	0.4743295769
86	0.4733052967
87	0.4719029516
88	0.4704196823
89	0.4692433987
90	0.4676877072
91	0.466313502
92	0.4648500798
93	0.4634104199
94	0.4622452864
95	0.4610021837
96	0.4596122475
97	0.4586477451
98	0.4574414112
99	0.4564241094
100	0.4550638749
101	0.4542408973
102	0.4532566773
103	0.4520655908
104	0.4507238555
105	0.4498366107
106	0.4487896642
107	0.4479768896
108	0.4470680981
109	0.4461679098
110	0.4449306084
111	0.4442033574
112	0.4431957018
113	0.4420871406
114	0.4411092577
115	0.4404176692
116	0.4393393235
117	0.4385459318
118	0.4376310267
119	0.4365919682
120	0.435699522
121	0.4348411265
122	0.4339453038
123	0.4328033805
124	0.4319283148
125	0.431255711
126	0.4304025807
127	0.4298279456
128	0.4289908619
129	0.428105933
130	0.4274906178
131	0.4263412117
132	0.425333153
133	0.4243619509
134	0.423633468
135	0.422886164
136	0.422138266
137	0.4212786668
138	0.4205727413
139	0.419839835
140	0.4190527877
141	0.4181762374
142	0.4177653522
143	0.4171131442
144	0.4165638702
145	0.4156470735
146	0.4153234152
147	0.4145419816
148	0.4139180235
149	0.4128166732
150	0.4120071499
151	0.4115050342
152	0.4103879002
153	0.409697523
154	0.4090180541
155	0.4084360887
156	0.4075078525
157	0.4070228321
158	0.4060864306
159	0.4055216244
160	0.4049736798
